eh,é
té +,até mais
stranho,estranho
hj,hoje
tipow,tipo
fais,faz
ingto,ingrato
pc,computador
qse,quase
baxin,baixinho
serin,sério
novis,novidades
beim,bem
demorô,demorou
shuver,chover
decha,deixa
pulus,pulos
dus,dos
bgd,obrigado
covard,covarde
meliiores,melhores
aew,oi
lokura,loucura
bb,bebê
poka,pouca
amul,amo
qq,qualquer
ineskecivel,inesquecível
ctz,certeza
ngm,ninguém
cunhesu,conheço
amgo,amigo
qm,quem
adapitador,adaptador
pueira,poeira
aham,sim
xau,tchau
n,não
intndndu,entendendo
akbo,acabou
facul,faculdade
msm,mesmo
logiko,lógico
amour,amor
craq,craque
majia,magia
tds,todos
parecenu,parecendo
9vidades,novidades
d nda,de nada
tah,tá
kis,quis
fikei,fiquei
dmais,demais+
cnte,conte
sonin,soninho
cel,celular
btf,boto fé
sinhê,sim
fcd,fica com Deus
okay,tudo certo
complikadu,complicado
vsf,vá se foder
falô,falou
deshar,deixar
fds,fim de semana
conkistô,consquistou
blz,beleza
idd,idade
alterassaum,alteração
shegou,chegou
bora,embora
aff,ave maria
oc,você
pkno,pequeno
xover,chover
corguin,córrego
cumé,como é
noês,nós
trankilidade,tranquilidade
teim,tem
mulek,moleque
mto,muito
calmin,calmo
meo,meu
vest,vestibular
eol,eu
aki,aqui
meldels,meu deus
aqê,aqui
virô,virou
deprê,depressão
kração,coração
fossi,fosse
seol,seu
cedaum,bem cedo
dexha,deixa
volc,você
jah,já
vg,vírgula
duenti,doente
morenin,moreninho
s,sim
c,você
saite,site
hoji,hoje
magine,imagine
kiser,quiser
mermo,mesmo
gnt,gente
ksa,casa
d+,demais
cda,cada
pokin,pouquinho
cvard,covarde
entaum,então
xorar,chorar
docih,doce
obg,obrigado
solidariu,solidário
cvs,conversar
paishão,paixão
daqle,daquele
obgda,obrigada
kero,quero
moziin,amorzinho
ospital,hospital
choranu,chorando
agg,agora
qria,queria
vdd,verdade
dps,depois
arkivu,arquivo
kvard,covarde
mimi,dormir
flei,falei
pqp,puta que pariu
anaum,anão
cmg,comigo
bj,beijo
tdb,tudo de bom
eskeçe,esquece
flw,falou
q,que
xaudade,saudade
obv,óbvio
pqê,por quê
soh,só
gatchenha,gatinha
find,fim de semana
kra,cara
maix,mais
nda,nada
xegô,chegou
tá,está
bashando,baixando
inté,até
noiti,noite
santin,santo
pusha,puxar
niver,aniversário
anju,anjo
stóra,estoura
miga,amiga
tp,tipo
smp,sempre
direitin,direitinho
net,internet
veiz,vez
migz,amigas
lanxi,lanche
colok,colocar
detali,detalhe
thi,te
nuss,nossa
qro,quero
tomey,tomei
kbelo,cabelo
qê,que
perfoh,perfeito
enterrey,enterrei
grazadels,graças a deus
kd,cadê
legalz,legal
vc,você
cv,conversa
mlke,moleque
dp,depois
namo,namorado
pde,pode
akele,aquele
naum,não
ashu,acho
xênte,gente
cruzis,cruzes
clike,clique
kietin,quieto
axu,acho
pouku,pouco
pkna,pequena
brink´s,brincadeira
esqêci,esqueci
voley,vôlei
kda,cada
kinta,quinta
umiliá,humilhar
eh,é
eh,é
d+,demais
boua,boa
axo,acho
tah,está
fika,fica
xou,show
mt,muito
tudibão,tudo de bom
kem,quem
akeles,aqueles
taria,estaria
tô,estou
bão,bom
neh,né
daora,da hora
ñ,não
naum,não
oq,o que
aki,aqui
axei,achei
kero,quero
tals,tal
poko,pouco
valew,valeu
